File Name,Column Name,Data Type,Non-Null Count,Mean,Median,Standard Deviation,Minimum Value,Maximum Value,Unique Value Count,Most Frequent Value,Missing Value Count,Outlier Count
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,state/ut,object,1026,,,,,,38,A & N ISLANDS,0,
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,crime_head,object,1026,,,,,,27,"ANTIQUITIES AND ART TREASURES ACT, 1972",0,
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,male_below_18_years,int64,1026,23.505847953216374,0.0,222.99441634683515,0.0,3971.0,75,0,0,244.0
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,female_below_18_years,int64,1026,2.2923976608187133,0.0,21.493692340794674,0.0,386.0,26,0,0,83.0
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,male_between_18-30_years,int64,1026,10720.5,1.0,109644.79335552201,0.0,1827908.0,307,0,0,210.0
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,female_between_18-30_years,int64,1026,256.1111111111111,0.0,2490.1218666099744,0.0,43599.0,125,0,0,197.0
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,male_between_30-45_years,int64,1026,8876.002923976608,2.0,86840.65661733419,0.0,1513259.0,310,0,0,198.0
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,female_between_30-45_years,int64,1026,407.52923976608184,0.0,4104.857316628194,0.0,69430.0,136,0,0,210.0
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,male_between_45-60_years,int64,1026,3517.625730994152,0.0,34095.04376671091,0.0,599266.0,241,0,0,198.0
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,female_between_45-60_years,int64,1026,195.69883040935673,0.0,1984.0463487747725,0.0,33339.0,98,0,0,238.0
Persons_arrested_by_sex_and_age_group_SLL_2012.csv,male_above_60_years,int64,1026,326.6900584795322,0.0,3108.259396752637,0.0,55595.0,123,0,0,224.0
