Column Name,Inconsistent Data Types Across Files,Data Types by File
state/ut,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'object', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'object', 'District_wise_crimes_committed_against_women_2013.csv': 'object', 'District_wise_crimes_committed_against_SC_2001_2012.csv': 'object', 'Crime_by_place_of_occurrence_2001_2012.csv': 'object', 'Crime_by_place_of_occurrence_2013.csv': 'object', 'Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2013.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv': 'object', 'District_wise_crimes_committed_against_SC_2013.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv': 'object', 'District_wise_crimes_committed_IPC_2013.csv': 'object', 'District_wise_crimes_committed_against_children_2013.csv': 'object', 'District_wise_crimes_committed_against_children_2001_2012.csv': 'object', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv': 'object', 'Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2001_2012.csv': 'object', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv': 'object', 'District_wise_crimes_committed_IPC_2001_2012.csv': 'object', 'Juvenile_apprehended_state_IPC.csv': 'object', 'District_wise_crimes_committed_against_ST_2013.csv': 'object', 'Juvenile_apprehended_state_SLL.csv': 'object', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'object', 'District_wise_crimes_committed_against_ST_2001_2012.csv': 'object', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'object', 'District_wise_crimes_committed_against_women_2001_2012.csv': 'object'}"
crime_head,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'object', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'object', 'Persons_arrested_by_sex_and_age_group_SLL_2014.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2013.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2012.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2013.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv': 'object', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv': 'object', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv': 'object', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv': 'object', 'Persons_arrested_by_sex_and_age_group_IPC_2014.csv': 'object', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'object', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'object'}"
male_below_18_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
female_below_18_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
male_between_18-30_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
female_between_18-30_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
male_between_30-45_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
female_between_30-45_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
male_between_45-60_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
female_between_45-60_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
male_above_60_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
female_above_60_years,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
male_total,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
female_total,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
grand_total,False,"{'Persons_arrested_by_sex_and_age_group_SLL_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_SLL_2013.csv': 'int64', 'Juvenile_apprehended_state_IPC.csv': 'int64', 'Juvenile_apprehended_state_SLL.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2012.csv': 'int64', 'Persons_arrested_by_sex_and_age_group_IPC_2013.csv': 'int64'}"
states/uts,False,"{'Crime_by_place_of_occurrence_2014.csv': 'object', 'Persons_arrested_by_sex_and_age_group_SLL_2014.csv': 'object', 'District_wise_crimes_committed_against_women_2014.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2014.csv': 'object', 'District_wise_crimes_committed_IPC_2014.csv': 'object', 'District_wise_crimes_committed_against_SC_2014.csv': 'object', 'Person_arrested_and_their_disposal_by_police_and_court_IPC_crime_2014.csv': 'object', 'Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv': 'object', 'Persons_arrested_by_sex_and_age_group_IPC_2014.csv': 'object', 'District_wise_crimes_committed_against_ST_2014.csv': 'object'}"
